stock_code,volatility_std,mean_x,abs_mean_x,min_x,max_x,range,count
4519,1.9686171980072702,0.07699696279422931,1.3495140470766893,-17.6,15.45,33.05,5268
9005,1.9681647714249648,0.04183750949126804,1.3425132877752468,-13.11,24.17,37.28,5268
3405,1.9660405477352378,0.029075550493545942,1.389637433561124,-12.99,14.12,27.11,5268
8304,1.9587889336473314,0.010070235383447226,0.990328397873956,-31.25,36.71,67.96000000000001,5268
2914,1.9545597502707026,0.04874525436598329,1.3711977980258163,-12.4,14.16,26.560000000000002,5268
3402,1.9458916045457617,0.033147304479878514,1.3611427486712224,-12.68,16.88,29.56,5268
9064,1.9144939131051049,0.015429005315110104,1.3691154138192863,-13.08,16.13,29.21,5268
2282,1.9099579790658507,0.035096810933940764,1.3166230068337128,-27.53,12.85,40.38,5268
9101,1.9083503888787166,0.008741457858769926,1.1875151860288535,-15.85,13.69,29.54,5268
2871,1.9049628219329053,0.05688306757782839,1.3244836750189828,-19.21,14.94,34.15,5268
8697,1.9007837595323942,0.0627942293090357,0.9389863325740319,-16.0,17.13,33.129999999999995,5268
4911,1.897615561904107,0.05430713743356113,1.3211977980258163,-13.07,17.02,30.09,5268
